产品,课程页面,锚文本,跳转链接
SunFounder Da Vinci Kit for Raspberry Pi,https://docs.sunfounder.com/projects/davinci-kit/en/latest/introduction.html,Da Vinci kit,https://www.sunfounder.com/products/sunfounder-davinci-kit
,https://docs.sunfounder.com/projects/davinci-kit/en/latest/what_do_we_need.html,USB keyboard,https://www.sunfounder.com/products/keyboard-mouse
,https://docs.sunfounder.com/projects/davinci-kit/en/latest/gpio_extension_board.html,breadboard,https://www.sunfounder.com/products/sunfounder-breadboard-kit
,https://docs.sunfounder.com/projects/davinci-kit/en/latest/1.1.1_blinking_led.html,breadboard,https://www.sunfounder.com/products/sunfounder-breadboard-kit
,https://docs.sunfounder.com/projects/davinci-kit/en/latest/1.1.6_led_dot_matrix.html,LED dot matrix,https://www.sunfounder.com/products/rgb-matrix
,https://docs.sunfounder.com/projects/davinci-kit/en/latest/1.1.7_i2c_lcd1602.html,LCD1602,https://www.sunfounder.com/products/i2c-lcd1602-module
,https://docs.sunfounder.com/projects/davinci-kit/en/latest/1.3.2_servo.html,servo,https://www.sunfounder.com/products/sf0180-servo-motor
,https://docs.sunfounder.com/projects/davinci-kit/en/latest/2.1.2_slide%20Switch.html,breadboard,https://www.sunfounder.com/products/sunfounder-breadboard-kit
,https://docs.sunfounder.com/projects/davinci-kit/en/latest/2.1.5_keypad.html,keypad,https://www.sunfounder.com/products/membrane-switch-keypad
,https://docs.sunfounder.com/projects/davinci-kit/en/latest/2.2.4_pir.html,human body infrared pyroelectric sensors,https://www.sunfounder.com/products/hcsr501-infrared-sensor
,https://docs.sunfounder.com/projects/davinci-kit/en/latest/2.2.5_ultrasonic_sensor_module.html,ultrasonic sensor,https://www.sunfounder.com/products/hcsr04-distance-sensor
,https://docs.sunfounder.com/projects/davinci-kit/en/latest/2.2.6_mpu6050_module.html,MPU-6050,https://www.sunfounder.com/products/mpu605_module
,https://docs.sunfounder.com/projects/davinci-kit/en/latest/2.2.7_mfrc522_rfid_module.html,RFID,https://www.sunfounder.com/products/rfid-kit-blue
,https://docs.sunfounder.com/projects/davinci-kit/en/latest/3.1.2_welcome.html,PIR,https://www.sunfounder.com/products/hcsr501-infrared-sensor
,https://docs.sunfounder.com/projects/davinci-kit/en/latest/3.1.2_welcome.html,servos,https://www.sunfounder.com/products/sf0180-servo-motor
,https://docs.sunfounder.com/projects/davinci-kit/en/latest/3.1.3_reversing_alarm.html,LCD,https://www.sunfounder.com/products/i2c-lcd1602-module
,https://docs.sunfounder.com/projects/davinci-kit/en/latest/3.1.6_motion_control.html,MPU6050,https://www.sunfounder.com/products/mpu605_module
,https://docs.sunfounder.com/projects/davinci-kit/en/latest/3.1.8_overheat_monitor.html,LCD,https://www.sunfounder.com/products/i2c-lcd1602-module
,https://docs.sunfounder.com/projects/davinci-kit/en/latest/3.1.9_password_lock.html,LCD,https://www.sunfounder.com/products/i2c-lcd1602-module
,https://docs.sunfounder.com/projects/davinci-kit/en/latest/3.1.12_game_guess_number.html,keypad,https://www.sunfounder.com/products/membrane-switch-keypad
,https://docs.sunfounder.com/projects/davinci-kit/en/latest/3.1.12_game_guess_number.html,LCD,https://www.sunfounder.com/products/i2c-lcd1602-module
,https://docs.sunfounder.com/projects/davinci-kit/en/latest/3.1.14_game_not_not.html,dot matrix,https://www.sunfounder.com/products/rgb-matrix
Thales Kit for Raspberry Pi Pico,https://docs.sunfounder.com/projects/thales-kit/en/latest/index.html#,SunFounder Thales Kit,https://www.sunfounder.com/products/pico-starter-kit
,https://docs.sunfounder.com/projects/thales-kit/en/latest/index.html#,MicroPython,https://micropython.org/
,https://docs.sunfounder.com/projects/thales-kit/en/latest/index.html#,Arduino,https://www.arduino.cc/
,https://docs.sunfounder.com/projects/thales-kit/en/latest/introduction_to_raspberry_pi_pico.html,Raspberry Pi RP2040,https://www.raspberrypi.org/documentation/rp2040/getting-started/
